time_ms,cpu_usage,queue_length,active_workers
4376,170,17,8
4386,170,17,8
4399,170,17,8
4412,170,14,8
4425,110,13,8
4437,110,13,8
4450,110,14,8
4462,110,15,8
4475,110,14,8
4487,110,15,8
4498,140,14,8
4509,140,15,8
4521,140,15,8
4534,140,16,8
4544,140,16,8
4557,140,17,8
4568,140,17,8
4581,140,18,8
4593,140,18,8
4603,170,17,8
4614,170,15,8
4626,170,16,8
4639,170,14,8
4649,170,15,8
4662,170,15,8
4672,140,15,8
4685,140,15,8
4696,140,16,8
4708,110,15,8
4721,110,16,8
4734,110,16,8
4745,110,17,8
4756,110,18,8
4808,110,18,8
4823,170,15,8
4856,170,14,8
4889,170,14,8
4902,170,14,8
4912,170,14,8
4926,170,14,8
4937,170,15,8
4948,170,15,8
4959,170,16,8
4971,170,16,8
4982,170,17,8
4993,170,17,8
5006,170,18,8
5017,140,14,8
5029,140,15,8
5040,170,13,8
5051,170,14,8
5061,170,14,8
5073,170,14,8
5084,170,15,8
5097,170,15,8
5107,170,15,8
5119,170,15,8
5132,170,15,8
5143,170,16,8
5155,170,16,8
5168,170,17,8
5178,170,17,8
5191,170,18,8
5201,170,18,8
5212,170,19,8
5225,110,15,8
5236,140,14,8
5248,140,14,8
5259,140,15,8
5269,140,15,8
5282,170,15,8
5292,170,15,8
5303,170,16,8
5315,170,16,8
5326,170,16,8
5338,170,17,8
5350,170,17,8
5362,170,18,8
5375,170,18,8
5385,170,19,8
5398,170,19,8
5410,170,20,8
5423,170,16,8
5433,170,17,8
5444,110,15,8
5457,110,16,8
5468,110,16,8
5481,110,16,8
5492,110,17,8
5503,110,17,8
5515,140,16,8
5526,140,17,8
5536,140,17,8
5548,140,18,8
5559,140,19,8
5570,140,19,8
5581,140,19,8
5593,140,20,8
5605,140,21,8
5616,140,21,8
5628,170,17,8
5640,170,18,8
5651,170,17,8
5664,170,17,8
5676,170,18,8
5689,140,17,8
5700,140,18,8
5759,140,18,8
5771,110,18,8
5784,110,19,8
5795,110,19,8
5807,110,19,8
5817,110,20,8
5828,170,16,8
5840,170,17,8
5851,170,15,8
5906,170,16,8
5929,170,16,8
5956,170,17,8
5967,170,17,8
5978,170,17,8
5988,170,18,8
6002,170,18,8
6030,170,19,8
6042,140,15,8
6053,170,13,8
6063,170,14,8
6073,170,14,8
6086,170,15,8
6096,170,15,8
6106,170,16,8
6119,170,15,8
6131,170,16,8
6142,170,16,8
6153,170,17,8
6164,170,17,8
6176,170,17,8
6188,170,17,8
6200,170,18,8
6212,170,18,8
6223,170,19,8
6234,160,19,6
6246,110,16,8
6259,140,14,8
6270,140,15,8
6282,140,15,8
6293,140,16,8
6304,140,16,8
6314,170,16,8
6325,170,16,8
6337,170,17,8
6349,170,17,8
6361,170,18,8
6371,170,18,8
6382,170,18,8
6392,170,19,8
6403,170,19,8
6413,170,19,8
6423,170,20,8
6434,170,20,8
6447,170,17,8
6459,110,16,8
6470,110,16,8
6481,110,16,8
6492,110,17,8
6505,110,18,8
6517,110,17,7
6529,110,18,8
6539,110,18,8
6550,110,19,8
6560,110,19,8
6571,110,19,8
6582,140,19,8
6593,140,19,8
6603,140,20,8
6616,140,20,8
6628,140,21,8
6639,160,18,7
6650,170,18,8
6663,170,16,8
6676,170,17,8
6686,170,17,8
6697,170,18,8
6707,170,18,8
6718,170,19,8
6728,140,18,8
6740,140,19,8
6751,140,19,8
6762,140,20,8
6773,140,20,8
6784,110,20,8
6795,110,20,8
6805,110,21,8
6816,110,21,8
6831,110,22,8
6842,170,19,8
6858,170,17,8
6869,170,18,8
6885,170,19,8
6897,170,19,8
6909,170,20,8
6920,170,20,8
6931,170,20,8
6942,170,20,8
6954,170,21,8
6966,170,21,8
6978,170,22,8
6990,170,21,8
7003,170,22,8
7016,170,22,8
7029,170,23,8
7040,170,23,8
7062,140,20,8
7073,170,19,8
7085,170,19,8
7097,170,20,8
7109,170,20,8
7120,170,21,8
7132,170,20,8
7143,170,21,8
7153,170,21,8
7164,170,22,8
7174,170,22,8
7185,160,23,7
7197,170,22,8
7210,170,23,8
7245,170,23,8
7259,110,20,8
7270,140,19,8
7281,140,19,8
7292,140,20,8
7303,140,20,8
7315,140,21,8
7326,140,21,8
7336,170,21,8
7347,170,21,8
7359,170,22,8
7369,170,22,8
7382,170,23,8
7395,170,22,8
7405,170,23,8
7417,170,23,8
7428,170,24,8
7438,170,24,8
7541,170,25,8
7559,110,19,8
7574,110,20,8
7587,110,20,8
7597,140,20,8
7610,140,21,8
7620,140,21,8
7631,140,21,8
7646,140,22,8
7656,140,23,8
7666,140,23,8
7677,140,24,8
7691,140,24,8
7814,140,25,8
7825,110,18,8
7835,110,18,8
7846,110,19,8
7856,110,19,8
7867,110,20,8
7877,110,20,8
7887,110,21,8
7902,110,22,8
7913,110,22,8
7925,110,23,8
7940,110,23,8
8064,110,24,8
8080,170,17,8
8090,170,18,8
8100,170,18,8
8114,170,19,8
8126,170,19,8
8137,170,20,8
8150,170,20,8
8160,170,21,8
8172,170,21,8
8183,170,22,8
8194,170,22,8
8205,170,23,8
8219,170,24,8
8230,170,24,8
8243,170,25,8
8254,170,25,8
8266,170,26,8
8276,170,18,8
8286,170,19,8
8298,170,19,8
8308,170,19,8
8318,170,20,8
8342,170,20,8
8354,170,21,8
8364,170,21,8
8378,170,22,8
8436,170,23,8
8452,170,23,8
8463,170,24,8
8473,170,16,8
8484,170,17,8
8496,170,17,8
8506,170,18,8
8517,170,18,8
8527,170,19,8
8537,170,19,8
8548,170,20,8
8558,170,20,8
8605,170,21,8
8615,170,21,8
8628,170,21,8
8639,170,22,8
8649,170,22,8
8686,160,23,7
8699,140,16,8
8710,140,17,8
8721,140,17,8
8732,140,18,8
8742,140,18,8
8752,140,19,8
8763,140,19,8
8773,140,20,8
8783,140,20,8
8794,140,21,8
8807,140,21,8
8913,140,22,8
8949,110,16,8
8959,110,16,8
8972,110,17,8
8982,110,17,8
8992,110,18,8
9002,110,18,8
9013,110,19,8
9025,110,19,8
9036,110,20,8
9046,110,20,8
9056,110,21,8
9121,110,21,8
9171,170,19,8
9184,170,15,8
9194,170,15,8
9207,170,16,8
9217,170,17,8
9228,170,17,8
9238,170,18,8
9250,170,18,8
9261,170,19,8
9272,170,19,8
9283,170,20,8
9293,170,20,8
9303,170,21,8
9315,170,21,8
9326,170,22,8
9337,110,19,8
9349,110,20,8
9360,110,20,8
9371,110,21,8
9381,170,16,8
9392,170,17,8
9405,170,17,8
9416,170,18,8
9426,170,18,8
9437,170,19,8
9448,170,19,8
9459,170,20,8
9469,170,20,8
9481,170,21,8
9493,170,21,8
9505,170,22,8
9515,170,22,8
9526,170,23,8
9536,170,23,8
9546,140,21,8
9557,140,21,8
9568,140,22,8
9584,170,17,8
9596,170,18,8
9606,170,18,8
9617,170,19,8
9628,170,20,8
9639,170,20,8
9652,170,20,8
9664,170,21,8
9677,170,22,8
9688,170,22,8
9704,170,22,8
9720,170,23,8
9731,170,24,8
9743,170,21,8
9754,170,22,8
9766,170,22,8
9778,170,23,8
9790,140,18,8
9802,140,19,8
9818,140,19,8
9833,140,20,8
9851,140,21,8
9866,140,22,8
9878,140,22,8
9889,140,23,8
9900,140,23,8
9910,140,24,8
9922,140,24,8
9957,140,25,8
9968,170,22,8
9980,170,22,8
9991,110,18,8
10002,110,19,8
10014,110,19,8
10027,110,20,8
10037,110,20,8
10051,110,21,8
10061,110,21,8
10074,110,22,8
10087,110,22,8
10100,110,23,8
10113,110,23,8
10125,110,24,8
10136,110,24,8
10149,110,25,8
10160,110,24,8
10171,170,23,8
10183,170,22,8
10196,170,19,8
10207,170,20,8
10218,170,20,8
10228,170,21,8
10238,170,21,8
10251,170,21,8
10263,170,22,8
10275,170,22,8
10286,170,23,8
10296,170,23,8
10308,170,24,8
10320,170,25,8
10332,170,25,8
10344,170,26,8
10354,170,26,8
10368,140,26,8
10380,110,24,8
10393,170,20,8
10404,170,20,8
10417,170,20,8
10427,170,21,8
10440,170,21,8
10451,170,22,8
10463,170,22,8
10475,170,23,8
10486,170,23,8
10497,170,24,8
10508,170,24,8
10518,170,25,8
10530,170,25,8
10543,170,26,8
10554,170,26,8
10569,170,27,8
10582,140,24,8
10594,170,21,8
10607,170,21,8
10618,170,21,8
10630,170,22,8
10643,170,22,8
10655,170,23,8
10666,170,23,8
10677,170,24,8
10687,170,24,8
10698,170,25,8
10710,170,25,8
10720,170,26,8
10732,170,26,8
10747,170,27,8
10760,170,27,8
10772,170,27,8
10788,170,25,8
10802,110,22,8
10845,140,21,8
10857,140,22,8
10870,140,23,8
10883,140,23,8
10895,140,24,8
10910,140,24,8
10979,140,25,8
10990,170,23,8
11002,140,20,8
11013,110,19,8
11023,110,19,8
11041,110,20,8
