time_ms,cpu_usage,queue_length,active_workers
4911,90,75,6
4923,90,75,6
4935,90,76,6
4945,90,76,6
4956,80,76,5
4967,90,76,3
4978,80,77,2
4989,100,74,4
5001,100,75,4
5013,100,75,4
5025,100,76,4
5035,100,76,4
5048,100,77,4
5060,100,77,4
5072,100,78,4
5083,100,78,4
5095,100,79,4
5106,100,79,4
5118,100,80,4
5129,100,80,4
5141,100,81,4
5153,100,81,4
5163,100,82,4
5175,100,78,7
5188,70,78,7
5200,90,77,6
5211,90,78,6
5222,90,78,6
5235,90,79,6
5247,90,79,6
5260,90,80,6
5272,90,80,6
5284,90,81,6
5297,90,81,6
5308,90,82,6
5319,90,82,6
5332,90,83,6
5343,90,83,6
5354,90,84,6
5367,80,84,5
5379,90,84,3
5391,80,84,2
5402,100,82,4
5414,100,82,4
5425,100,83,4
5437,100,83,4
5448,100,84,4
5458,100,84,4
5469,100,85,4
5481,100,86,4
5493,100,86,4
5506,100,87,4
5516,100,87,4
5527,100,87,4
5538,100,88,4
5550,100,89,4
5562,100,89,4
5574,80,88,5
5585,100,86,7
5596,70,85,7
5608,90,85,6
5621,90,85,6
5634,90,86,6
5645,90,87,6
5656,90,87,6
5668,90,87,6
5681,90,88,6
5691,90,89,6
5703,90,89,6
5714,90,89,6
5725,90,90,6
5738,90,90,6
5748,90,91,6
5761,90,91,6
5772,90,92,6
5783,90,91,3
5795,90,92,3
5806,100,89,4
5819,100,90,4
5832,100,90,4
5842,100,91,4
5853,100,91,4
5863,100,92,4
5874,100,92,4
5886,100,93,4
5898,100,93,4
5910,100,94,4
5922,100,94,4
5935,100,95,4
5948,100,95,4
5958,100,96,4
5969,100,96,4
5982,100,97,4
5994,80,95,5
6006,90,92,6
6017,90,92,6
6028,90,93,6
6039,90,93,6
6051,90,94,6
6062,90,94,6
6072,90,95,6
6085,90,95,6
6098,90,96,6
6110,90,96,6
6122,90,97,6
6135,90,97,6
6147,90,98,6
6160,90,98,6
6172,90,99,6
6185,80,100,5
6198,80,100,5
6209,80,99,2
6222,100,97,4
6235,100,98,4
6246,100,98,4
6259,100,99,4
6271,100,99,4
6281,100,100,4
6293,100,100,4
6305,100,101,4
6316,100,101,4
6328,100,102,4
6339,100,102,4
6351,100,103,4
6363,100,103,4
6375,100,104,4
6387,100,104,4
6397,100,105,4
6408,100,101,7
6419,100,100,7
6432,90,100,6
6445,90,101,6
6456,90,101,6
6470,90,102,6
6482,90,102,6
6493,90,103,6
6506,90,103,6
6517,90,104,6
6528,90,104,6
6541,90,105,6
6554,90,105,6
6565,90,106,6
6575,90,106,6
6588,90,107,6
6601,90,107,6
6612,90,107,3
6622,100,104,4
6633,100,105,4
6645,100,105,4
6656,100,106,4
6667,100,106,4
6678,100,107,4
6691,100,107,4
6703,100,108,4
6713,100,108,4
6725,100,109,4
6738,100,109,4
6751,100,110,4
6761,100,110,4
6772,100,111,4
6784,100,111,4
6795,100,112,4
6807,100,112,4
6817,100,109,7
6830,90,108,6
6841,90,108,6
6851,90,108,6
6863,90,109,6
6875,90,109,6
6887,90,110,6
6900,90,110,6
6912,90,111,6
6922,90,111,6
6935,90,112,6
6946,90,113,6
6959,90,113,6
6972,90,114,6
6985,90,114,6
6996,90,115,6
7009,90,115,6
7021,80,116,5
7034,100,112,4
7045,100,113,4
7056,100,113,4
7068,100,114,4
7081,100,115,4
7094,100,115,4
7105,100,116,4
7118,100,116,4
7131,100,117,4
7141,100,117,4
7153,100,118,4
7166,100,118,4
7179,100,119,4
7191,100,119,4
7204,100,120,4
7216,100,121,4
7229,70,120,4
7241,90,116,6
7251,90,116,6
7262,90,116,6
7274,90,117,6
7287,90,117,6
7298,90,118,6
7310,90,118,6
7322,90,119,6
7335,90,119,6
7346,90,120,6
7356,90,120,6
7367,90,121,6
7379,90,121,6
7391,90,122,6
7402,90,123,6
7414,90,123,6
7427,90,124,6
7439,80,123,2
7452,100,121,4
7465,100,121,4
7478,100,122,4
7489,100,122,4
7501,100,123,4
7512,100,123,4
7522,100,124,4
7535,100,124,4
7546,100,125,4
7556,100,125,4
7567,100,126,4
7578,100,126,4
7588,100,126,4
7601,100,127,4
7614,100,127,4
7625,100,128,4
7638,70,128,4
7649,90,123,6
7660,90,123,6
7673,90,124,6
7685,90,124,6
7698,90,125,6
7708,90,126,6
7721,90,126,6
7731,90,127,6
7744,90,127,6
7754,90,128,6
7767,90,128,6
7778,90,129,6
7789,90,129,6
7801,90,130,6
7812,90,130,6
7822,90,131,6
7835,90,131,6
7846,100,131,4
7856,100,128,4
7867,100,128,4
7878,100,129,4
7889,100,129,4
7902,100,130,4
7914,100,130,4
7926,100,131,4
7938,100,131,4
7951,100,132,4
7962,100,133,4
7972,100,133,4
7985,100,133,4
7995,100,134,4
8006,100,135,4
8018,100,135,4
8030,100,136,4
8040,100,136,4
8053,90,133,6
8064,90,131,6
8075,90,131,6
8086,90,132,6
8099,90,132,6
8112,90,133,6
8122,90,134,6
8135,90,134,6
8146,90,135,6
8159,90,135,6
8171,90,136,6
8182,90,136,6
8195,90,137,6
8206,90,137,6
8219,90,138,6
8232,90,138,6
8242,90,139,6
8254,80,139,5
8265,100,136,4
8277,100,136,4
8290,100,137,4
8303,100,137,4
8313,100,138,4
8325,100,138,4
8336,100,139,4
8349,100,139,4
8361,100,140,4
8372,100,140,4
8385,100,141,4
8395,100,141,4
8406,100,142,4
8419,100,142,4
8431,100,143,4
8442,100,143,4
8453,100,144,4
8466,100,139,7
8478,90,139,6
8491,90,139,6
8504,90,140,6
8517,90,141,6
8528,90,141,6
8539,90,142,6
8552,90,142,6
8565,90,143,6
8575,90,143,6
8587,90,144,6
8597,90,144,6
8610,90,144,6
8622,90,145,6
8635,90,146,6
8648,90,146,6
8661,80,147,5
8672,100,143,4
8683,100,144,4
8696,100,144,4
8708,100,145,4
8718,100,145,4
8731,100,146,4
8741,100,146,4
8754,100,147,4
8767,100,147,4
8779,100,148,4
8791,100,148,4
8803,100,149,4
8814,100,150,4
8825,100,150,4
8838,100,150,4
8851,100,151,4
8863,100,152,4
8875,90,146,6
8888,90,147,6
8899,90,147,6
8911,90,148,6
8922,90,148,6
8935,90,149,6
8948,90,149,6
8960,90,150,6
8972,90,150,6
8985,90,151,6
8997,90,152,6
9009,90,152,6
9021,90,152,6
9032,90,153,6
9042,90,153,6
9053,90,154,6
9065,90,154,6
9078,100,151,4
9089,100,151,4
9102,100,152,4
9114,100,152,4
9125,100,153,4
9138,100,153,4
9151,100,154,4
9163,100,154,4
9176,100,155,4
9188,100,155,4
9200,100,156,4
9211,100,156,4
9222,100,157,4
9235,100,157,4
9248,100,158,4
9261,100,159,4
9272,100,159,4
9285,90,154,6
9296,90,154,6
9309,90,155,6
9321,90,155,6
9334,90,156,6
9345,90,156,6
9356,90,157,6
9367,90,157,6
9380,90,157,6
9391,90,158,6
9402,90,158,6
9415,90,159,6
9425,90,160,6
9438,90,160,6
9451,90,161,6
9463,90,161,6
9475,90,162,6
9488,100,158,4
9501,100,159,4
9512,100,159,4
9522,100,160,4
9535,100,160,4
9546,100,160,4
9559,100,161,4
9572,100,162,4
9584,100,162,4
9595,100,163,4
9606,100,163,4
9618,100,164,4
9629,100,164,4
9641,100,165,4
9654,100,165,4
9664,100,166,4
9675,100,166,4
9687,90,160,6
9700,90,161,6
9712,90,162,6
9722,90,162,6
9733,90,162,6
9746,90,163,6
9756,90,163,6
9769,90,164,6
9781,90,165,6
9794,90,165,6
9805,90,166,6
9817,90,166,6
9828,90,167,6
9839,90,167,6
9852,90,168,6
9864,90,168,6
9877,90,169,6
9889,90,168,3
9902,100,166,4
9915,100,166,4
9925,100,167,4
9936,100,167,4
9950,100,168,4
9962,100,169,4
9972,100,169,4
9985,100,169,4
9998,100,170,4
10011,100,171,4
10022,100,171,4
10035,100,172,4
10048,100,172,4
10061,100,173,4
10072,100,173,4
10084,100,174,4
10096,40,172,4
10109,90,169,6
10122,90,170,6
10134,90,170,6
10147,90,171,6
